Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2022-10-10,AFG,Afghanistan,,28.026875,1.65284,270707,6881,,263826,,,False,False,DZ
2022-10-10,AFG,Afghanistan,,,,221618,1044,,220574,,,False,False,
2022-10-10,AFG,Afghanistan,,18.223285,-66.592731,960724,5174,,955550,,,False,False,PR
2022-10-10,AFG,Afghanistan,,46.815514,8.224472,4109164,13582,,4095582,,,False,False,CH
2022-10-10,AFG,Afghanistan,,48.193764,66.902264,1484100,19052,,1465048,,,False,False,KZ
2022-04-29,AFG,Afghanistan,,9.322048,2.313138,86394,163,,86231,,,False,False,BJ
2022-10-10,AFG,Afghanistan,,-32.53152,-55.758328,986446,7495,,978951,,,False,False,UY
2022-10-10,AFG,Afghanistan,,,,40277,187,,40090,,,False,False,
2022-10-10,AFG,Afghanistan,,53.711111,27.973847,994037,7118,,986919,,,False,False,BY
2022-10-10,AFG,Afghanistan,,-23.45139,-58.453215,716543,19591,,696952,,,False,False,PY
2022-10-10,AFG,Afghanistan,,31.792306,-7.080168,1265093,16278,,1248815,,,False,False,MA
2022-10-10,AFG,Afghanistan,,49.217445,-2.141055,60646,141,,60505,,,False,False,JE
2022-10-10,AFG,Afghanistan,,43.738348,7.424451,14717,63,,14654,,,False,False,MC
2022-10-10,AFG,Afghanistan,,36.132235,-5.352273,20095,108,,19987,,,False,False,GI
2022-10-10,AFG,Afghanistan,,7.856272,30.040413,17780,138,,17642,,,False,False,SS
2022-10-10,AFG,Afghanistan,,13.796873,-88.910412,201785,4230,,197555,,,False,False,SV
2022-10-10,AFG,Afghanistan,,-22.34403,24.680158,326309,2781,,323528,,,False,False,BW
2022-10-10,AFG,Afghanistan,,-21.123889,165.846901,74315,314,,74001,,,False,False,NC
2022-10-10,AFG,Afghanistan,,56.155403,11.617223,3308378,7121,,3301257,,,False,False,DK
2022-10-10,AFG,Afghanistan,,42.542268,1.596865,46275,155,,46120,,,False,False,AD
2022-10-10,AFG,Afghanistan,,19.512365,-80.580024,30809,34,,30775,,,False,False,KY
2022-10-10,AFG,Afghanistan,,56.875584,24.607722,939146,6013,,933133,,,False,False,LV
2022-10-10,AFG,Afghanistan,,-7.018792,51.242138,47141,169,,46972,,,False,False,SC
2022-04-25,AFG,Afghanistan,,26.696361,30.246486,515645,24613,,491032,,,False,False,EG
2022-10-10,AFG,Afghanistan,,,,93974,410,,93564,,,False,False,
2022-10-10,AFG,Afghanistan,,15.776261,-90.229744,1127942,19819,,1108123,,,False,False,GT
2022-10-10,AFG,Afghanistan,,,,3231,1,,3230,,,False,False,
2022-10-10,AFG,Afghanistan,,-19.013286,29.146666,257655,5604,,252051,,,False,False,ZW
2022-10-10,AFG,Afghanistan,,9.934887,-11.283845,37950,455,,37495,,,False,False,GN
